year,month,day,country,region,state,city,attack_type,weapon_type,target_type,number_of_kills,number_of_wounded,property_damaged,lof_score,is_outlier
1994,11,23,Russia,Eastern Europe,Komi Republic,Syktyvkar,Hijacking,Explosives,Airports & Aircraft,0.0,0.0,0,1994319222.6271462,True
1994,12,10,United States,North America,New Jersey,Caldwell,Bombing/Explosion,Explosives,Business,1.0,0.0,1,268637832.97737485,True
1994,12,14,United States,North America,New York,Albany,Hostage Taking (Barricade Incident),Firearms,Educational Institution,0.0,1.0,1,194490841.78775868,True
1994,12,24,Algeria,Middle East & North Africa,Algiers,Algiers,Hijacking,Unknown,Airports & Aircraft,3.0,0.0,0,1065979591.3654177,True
1994,12,25,Philippines,Southeast Asia,Basilan,Unknown,Hostage Taking (Kidnapping),Melee,Government (General),2.0,0.0,0,216158464.83002934,True
1995,1,5,Russia,Eastern Europe,Moscow,Moscow,Assassination,Melee,Business,2.0,0.0,0,300139704.6979133,True
1995,1,10,Mexico,North America,Chiapas,Chicomuselo,Hostage Taking (Kidnapping),Unknown,Government (General),2.0,2.0,1,580114645.6258354,True
1995,1,18,South Africa,Sub-Saharan Africa,KwaZulu-Natal,Izingolweni,Armed Assault,Firearms,Private Citizens & Property,8.0,2.0,1,343941698.37116826,True
1995,1,19,South Korea,East Asia,Gwangju,Gwangju,Unknown,Unknown,Police,0.0,1.0,1,221184476.7790596,True
1995,1,20,Philippines,Southeast Asia,Basilan,Maluso,Hostage Taking (Kidnapping),Melee,Private Citizens & Property,2.0,0.0,0,216158464.83002934,True
1995,2,6,Mexico,North America,Chiapas,Chiapa de Corzo,Unknown,Unknown,Private Citizens & Property,0.0,0.0,1,1325602472.7092946,True
1995,2,6,Mexico,North America,Chiapas,Suchiate,Unknown,Unknown,Private Citizens & Property,0.0,0.0,1,1325602472.7092946,True
1995,2,6,Mexico,North America,Chiapas,Suchiate,Unknown,Unknown,Private Citizens & Property,0.0,0.0,1,1325602472.7092946,True
1995,2,9,Indonesia,Southeast Asia,East Timor,Dili,Hostage Taking (Kidnapping),Unknown,Private Citizens & Property,0.0,4.0,0,436068939.65099967,True
1995,2,14,Tajikistan,Central Asia,Dushanbe,Dushanbe,Assassination,Firearms,Military,2.0,0.0,0,517324646.3951465,True
1995,2,15,Tajikistan,Central Asia,Khatlon,Tajik / Afghan Border,Assassination,Firearms,Military,2.0,0.0,0,517324646.3951465,True
1995,3,3,Japan,East Asia,Tokyo,Tokyo,Unknown,Unknown,Government (General),0.0,0.0,0,2654071375.309495,True
1995,3,5,Cambodia,Southeast Asia,Unknown,Unknown,Hostage Taking (Kidnapping),Firearms,Police,2.0,0.0,0,216158464.83002934,True
1995,3,9,Thailand,Southeast Asia,Tak,Mae Sot,Facility/Infrastructure Attack,Firearms,Private Citizens & Property,2.0,0.0,1,767435028.401679,True
1995,3,17,Brazil,South America,Rio de Janeiro,Rio de Janeiro,Unarmed Assault,Melee,Police,0.0,2.0,0,368508962.4925955,True
1995,3,21,Myanmar,Southeast Asia,Yangon,Yangon,Hijacking,Firearms,Maritime,0.0,0.0,0,1110900232.9050977,True
1995,3,24,Georgia,Central Asia,Tbilisi,Tbilisi,Assassination,Firearms,Terrorists/Non-State Militia,1.0,2.0,0,302996258.32951784,True
1995,3,29,Russia,Eastern Europe,Khabarovsk Krai,Khabarovsk,Assassination,Unknown,Tourists,2.0,0.0,0,300139704.6979133,True
1995,4,9,Pakistan,South Asia,North-West Frontier Province,Shabqadar,Unarmed Assault,Melee,Private Citizens & Property,1.0,1.0,0,559170210.8423938,True
1995,4,14,Austria,Western Europe,Vienna,Vienna,Bombing/Explosion,Explosives,Utilities,2.0,0.0,1,342120957.7235142,True
1995,4,19,Spain,Western Europe,Madrid,Madrid,Assassination,Explosives,Government (General),0.0,16.0,0,577235298.0749719,True
1995,4,24,United States,North America,California,Sacramento,Bombing/Explosion,Explosives,Private Citizens & Property,1.0,0.0,1,268637832.97737485,True
